@relation matches
@attribute homeodds  real
@attribute drawodds  real
@attribute awayodds  real
@attribute avggoalshome  real
@attribute avggoalsaway  real
@attribute avgsothome  real
@attribute avgsotaway  real
@attribute class {0,1}

@data
'2.8','3.4','2.7',3.250,3.050,7.750,8.950,1
'2.38','3.4','3.25',2.632,3.100,8.211,9.000,1
'2.63','3.4','2.88',2.810,3.050,11.333,8.524,1
'2.6','3.5','2.8',3.050,3.950,8.650,10.050,1
'2.38','3.4','3.25',3.125,3.125,9.688,9.188,0
'2.05','3.5','4.0',2.588,3.000,9.235,9.706,1
'3.2','3.4','2.2',2.333,3.429,7.762,9.000,1
'2.7','3.2','2.6',2.762,3.000,9.667,9.190,1
'2.3','3.5','2.88',3.905,2.524,10.333,9.762,1
'2.5','3.25','2.8',2.476,3.100,8.571,8.286,1
'2.2','3.4','3.2',3.000,2.773,10.000,11.952,1
'2.2','3.5','3.5',2.833,3.556,8.944,11.056,1
'2.6','3.4','2.6',3.091,2.682,8.591,7.955,1
'2.63','3.4','2.55',2.636,3.227,8.727,7.773,0
'2.1','3.4','3.5',2.909,2.500,8.818,8.864,1
'2.6','3.4','2.6',2.682,3.136,9.545,9.273,1
'1.91','3.4','4.0',2.591,3.048,8.500,8.182,1
'1.85','3.5','4.2',2.909,2.682,9.091,7.545,1
'2.05','3.4','3.5',2.591,2.864,10.182,8.955,1
'1.85','3.5','4.2',4.000,2.524,10.591,7.364,1
'3.0','3.4','2.3',3.000,2.909,9.955,9.091,1
'2.6','3.4','2.88',2.579,2.789,8.053,9.368,1
'2.4','3.4','3.2',2.565,2.913,8.174,8.913,1
'2.75','3.4','2.75',2.870,2.696,8.913,8.348,1
'2.55','3.5','2.9',2.708,2.652,11.208,9.083,1
'3.0','3.4','2.5',2.696,2.652,10.087,8.391,1
'2.5','3.4','3.0',2.667,3.000,9.542,8.833,1
'2.45','3.4','3.1',2.500,3.000,10.333,9.958,1
'2.3','3.5','3.3',3.087,2.750,9.217,10.478,1
'2.75','3.4','2.75',3.000,2.708,9.040,8.640,1
'2.8','3.4','2.7',3.040,2.680,7.800,8.120,1
'2.75','3.4','2.75',2.958,3.042,9.333,8.875,1
'3.6','3.5','2.15',3.000,3.040,9.808,8.692,1
'2.7','3.4','2.8',3.000,2.400,10.000,7.760,1
'2.2','3.5','3.5',2.440,3.920,7.840,10.640,1
'2.45','3.4','3.1',2.680,2.731,7.560,11.360,1
'2.63','3.4','2.88',2.462,3.231,8.462,8.577,1
'2.6','3.5','2.8',2.962,2.963,8.577,9.346,1
'2.4','3.4','3.2',2.962,2.600,7.808,7.731,1
'3.6','3.4','2.2',3.130,2.522,10.261,7.870,1
'3.0','3.4','2.5',2.926,2.750,7.852,9.333,1
'2.45','3.5','3.0',2.964,2.923,9.929,9.143,1
'2.6','3.5','2.8',3.071,3.037,9.607,8.821,1
'2.25','3.4','3.5',3.000,2.607,9.071,8.107,1
'2.4','3.5','3.1',3.071,3.778,9.321,10.143,1
'2.2','3.5','3.5',2.615,3.034,7.731,11.115,1
'2.25','3.5','3.4',2.750,2.893,8.179,9.071,1
'3.2','3.4','2.38',2.519,2.786,10.222,8.111,1
'2.2','3.5','3.5',2.571,2.897,9.714,9.179,1
'3.25','3.4','2.38',2.900,3.750,11.533,9.833,1
'2.2','3.4','3.6',2.552,3.069,7.966,9.379,1
'2.63','3.5','2.8',3.000,2.931,9.889,9.556,1
'2.4','3.4','3.2',2.536,2.966,10.071,8.500,1
'2.45','3.5','3.0',2.897,2.690,8.483,9.724,1
'2.15','3.5','3.6',2.960,2.880,9.760,8.880,0
'2.75','3.4','2.75',2.933,2.733,8.400,8.100,1
'2.65','3.4','2.8',2.300,3.034,8.567,9.467,0
'3.4','3.5','2.25',2.517,3.267,8.172,9.000,1
'2.35','3.5','3.2',2.633,2.933,9.633,9.533,1
'2.88','3.4','2.63',2.667,2.800,8.933,8.700,1
'2.3','3.4','3.4',2.667,2.903,8.833,8.667,1
'2.5','3.4','3.0',2.710,2.613,8.097,8.710,1
'2.88','3.4','2.6',2.581,2.871,9.581,8.903,1
'3.5','3.5','2.2',2.839,3.067,8.548,9.161,1
'2.3','3.5','3.25',2.871,3.032,9.484,9.032,1
'3.2','3.4','2.38',2.655,3.033,7.828,10.310,1
'3.0','3.5','2.45',2.871,3.700,8.903,10.065,1
'2.5','3.4','3.0',2.500,2.813,7.938,8.813,1
'2.5','3.4','3.0',2.600,3.063,7.933,9.667,1
'2.45','3.4','3.1',2.875,2.538,8.750,6.844,1
'2.25','3.4','3.5',2.375,3.125,8.469,8.438,1
'2.7','3.4','2.75',3.000,2.848,8.909,8.758,1
'2.88','3.4','2.6',2.906,2.515,8.875,8.250,1
'2.35','3.5','3.2',2.429,3.214,8.964,10.214,1
'3.5','3.5','2.2',2.688,2.818,8.875,9.281,1
'2.25','3.2','3.2',2.625,2.727,7.563,8.688,1
'2.8','3.5','2.6',2.438,3.576,10.000,10.625,1
'2.4','3.5','3.1',2.909,2.758,9.455,8.515,1
'2.9','3.4','2.6',2.242,3.088,8.273,9.394,1
'2.1','3.5','3.8',2.606,2.939,8.061,8.848,1
'2.6','3.4','2.88',2.824,2.765,8.618,8.824,1
'2.63','3.3','2.9',2.727,2.676,7.727,9.212,1
'2.7','3.5','2.75',2.886,3.559,9.686,10.000,1
'3.25','3.5','2.3',2.943,2.771,11.143,8.886,1
'3.0','3.4','2.5',2.600,3.147,8.314,8.943,1
'3.5','3.5','2.2',2.912,2.886,9.441,9.176,1
'2.9','3.4','2.6',3.241,2.714,10.379,9.345,1
'2.5','3.4','3.0',2.771,2.943,9.086,8.400,0
'2.1','3.5','3.75',2.571,2.972,9.486,10.000,1
'2.25','3.4','3.5',3.139,2.889,9.222,8.667,0
'2.7','3.4','2.75',2.714,2.629,8.486,7.914,0
'2.7','3.4','2.75',3.028,2.583,8.611,8.417,1
'3.0','3.25','2.6',2.861,2.618,8.917,8.417,1
'2.6','3.4','2.88',2.806,2.971,8.944,9.639,1
'2.4','3.3','3.3',2.943,2.972,8.857,11.457,1
'3.5','3.4','2.25',2.657,2.667,8.800,9.000,1
'3.2','3.4','2.4',2.611,2.694,9.222,8.972,1
'4.0','3.5','2.05',2.486,2.886,8.571,8.743,1
'2.15','3.4','3.75',2.861,2.667,8.306,8.861,1
'3.0','3.3','2.55',2.361,3.054,9.694,9.444,1
'2.3','3.4','3.4',2.946,3.000,9.622,8.541,1
'2.4','3.5','3.1',3.027,2.639,11.189,8.324,1
'2.55','3.5','2.88',2.944,3.083,10.056,9.194,1
'2.2','3.5','3.5',2.917,3.000,9.472,8.972,1
'2.8','3.3','2.75',2.556,2.784,8.000,9.361,1
'2.8','3.3','2.75',2.432,2.919,7.838,8.324,1
'2.2','3.5','3.5',3.026,3.079,8.658,11.211,1
'2.0','3.5','4.2',2.789,2.526,8.868,8.368,1
'2.8','3.4','2.7',3.027,2.611,9.135,8.622,1
'2.88','3.4','2.6',3.054,2.763,8.973,8.919,1
'3.6','3.5','2.15',2.935,3.655,9.548,9.194,1
'3.2','3.4','2.4',2.684,2.684,9.237,8.842,1
'2.9','3.4','2.6',2.500,2.838,8.421,8.579,1
'2.0','3.5','4.2',2.737,2.684,9.026,8.579,1
'2.8','3.5','2.63',3.051,3.579,8.692,9.897,1
'2.2','3.4','3.6',3.103,2.500,11.179,9.564,1
'2.15','3.5','3.6',2.579,3.026,7.921,9.474,1
'2.4','3.5','3.1',3.053,2.632,8.895,8.579,0
'2.1','3.5','3.8',3.564,2.513,10.154,9.205,0
'2.05','3.5','4.0',2.581,3.250,7.742,10.774,1
'2.4','3.5','3.1',2.667,2.692,8.744,8.769,1
'2.4','3.4','3.2',2.816,2.487,9.053,8.553,1
'3.4','3.4','2.3',3.125,2.350,9.275,8.300,1
'3.0','3.4','2.5',2.564,2.775,8.564,8.821,1
'2.8','3.5','2.63',3.475,2.750,10.000,8.925,1
'2.9','3.5','2.55',2.683,2.800,8.317,8.780,1
'3.1','3.2','2.3',2.707,2.902,9.098,8.902,1
'2.25','3.4','3.1',3.048,3.167,9.190,11.286,1
'2.5','3.4','2.7',3.405,2.690,9.857,8.429,1
'2.2','3.4','3.2',3.071,2.952,9.690,8.857,1
'2.8','3.4','2.4',3.024,2.738,9.548,8.881,1
'1.91','3.5','4.0',2.405,3.000,9.000,9.000,1
'3.4','3.4','2.1',2.545,2.794,7.939,8.576,0
'2.63','3.3','2.6',2.647,2.794,9.412,8.353,1
'2.38','3.4','2.88',2.571,2.786,8.619,7.810,1
'1.83','3.5','4.2',2.857,2.829,8.810,9.143,1
'2.9','3.5','2.55',2.786,2.674,9.262,8.929,1
'2.38','3.5','3.1',2.465,2.860,7.953,9.047,1
'2.75','3.4','2.75',2.744,2.814,7.767,8.721,1
'2.2','3.5','3.5',3.047,2.512,8.744,9.698,0
'3.75','3.5','2.1',2.791,2.581,8.930,9.186,1
'2.25','3.5','3.4',3.163,2.286,11.279,7.907,1
'2.1','3.5','3.8',2.476,3.395,8.405,10.048,0
'2.45','3.5','3.0',2.488,3.047,7.930,9.233,1
'3.25','3.5','2.3',2.558,2.837,9.023,8.860,1
'2.3','3.4','3.4',3.200,2.265,10.371,7.314,1
'3.2','3.4','2.38',2.514,2.857,8.371,9.171,1
'2.7','3.5','2.7',3.114,2.659,11.318,8.386,1
'2.5','3.4','3.0',2.861,2.694,8.361,8.111,1
'3.1','3.5','2.4',2.756,2.978,7.733,8.422,1
'2.63','3.5','2.8',2.378,3.089,8.289,11.156,1
'2.8','3.5','2.63',2.644,3.133,8.289,9.200,1
'2.1','3.2','4.2',2.639,2.694,9.306,8.333,1
'2.63','3.5','2.8',2.649,2.838,8.081,8.622,1
'2.3','3.4','3.4',2.622,2.811,9.243,8.324,1
'2.3','3.3','3.5',2.870,2.789,9.130,7.783,1
'2.7','3.4','2.8',2.674,2.891,8.783,9.065,1
'2.38','3.4','3.25',2.609,2.739,8.522,7.957,1
'2.5','3.4','3.0',2.413,3.283,9.000,9.630,1
'2.25','3.4','3.5',2.684,2.658,8.289,9.211,1
'2.7','3.4','2.75',2.596,2.830,9.149,8.574,1
'2.3','3.5','3.3',2.333,3.000,8.769,11.205,1
'2.88','3.4','2.6',3.085,2.574,9.149,9.106,1
'3.25','3.4','2.38',2.745,2.915,8.298,8.638,0
'2.88','3.4','2.63',2.915,2.596,8.596,8.957,1
'2.75','3.4','2.7',3.085,2.596,9.681,9.723,1
'2.25','3.5','3.4',2.787,2.851,9.681,8.957,1
'3.4','3.5','2.25',4.000,2.553,8.000,395.000,1
'3.0','3.5','2.45',3.042,3.000,9.083,9.333,1
'2.4','3.5','3.1',2.979,2.854,9.208,9.188,0
'2.5','3.4','3.0',3.271,2.604,9.563,8.854,1
'3.0','3.4','2.5',3.063,2.646,9.583,8.292,1
'2.2','3.5','3.5',3.000,2.521,11.167,9.583,1
'2.2','3.4','3.6',2.438,2.875,8.292,9.250,1
'2.8','3.4','2.7',2.667,2.872,9.077,9.564,1
'2.4','3.5','3.1',2.878,2.878,9.163,9.102,1
'2.05','3.5','4.0',2.551,3.020,8.531,9.020,1
'2.05','3.5','4.0',2.857,3.000,9.204,11.224,1
'3.1','3.4','2.45',3.667,2.918,11.333,149.000,1
'3.75','3.3','2.2',2.700,2.600,8.975,9.275,1
'2.6','3.4','2.9',2.720,2.640,7.780,9.180,1
'2.2','3.4','3.6',2.980,2.460,8.920,8.680,1
'2.88','3.4','2.6',2.720,2.880,8.280,8.580,1
'2.05','3.5','4.0',2.480,2.920,8.860,9.200,1
'3.3','3.5','2.3',2.500,2.800,9.600,9.620,1
'2.1','3.5','3.75',3.120,2.980,9.620,8.620,1
'2.6','3.3','3.0',3.250,2.420,10.250,110.500,1
'2.15','3.5','3.6',2.660,3.220,8.360,9.640,1
'2.7','3.5','2.7',2.775,3.950,9.000,10.675,1
'3.25','3.4','2.38',2.980,2.900,11.240,9.080,1
'3.0','3.4','2.5',2.878,3.561,9.439,9.171,1
'3.6','3.5','2.15',2.634,2.780,9.122,9.000,1
'3.5','3.5','2.2',2.659,2.854,8.195,9.122,1
'2.2','3.4','3.6',2.843,2.686,9.373,7.824,1
'2.6','3.4','2.9',2.941,2.392,9.275,8.157,1
'2.5','3.4','3.0',2.667,2.784,8.980,9.000,1
'2.45','3.4','3.1',3.154,2.596,9.538,9.500,1
'3.0','3.5','2.45',2.961,2.865,8.686,9.549,1
'2.45','3.4','3.1',2.843,2.941,8.647,8.843,1
'3.0','3.4','2.5',2.827,2.635,9.327,8.288,1
'2.38','3.5','3.1',2.558,2.942,9.115,8.827,1
'1.95','3.5','4.33',2.885,2.453,9.096,8.865,1
'3.3','3.5','2.3',2.868,2.887,9.434,9.113,1
'2.8','3.3','2.75',2.962,2.923,9.288,8.827,1
'2.5','3.3','3.1',2.881,2.643,8.381,8.167,1
'2.63','3.5','2.8',3.311,3.000,10.089,11.089,1
'2.63','3.5','2.8',2.698,2.736,7.887,9.057,1
'3.0','3.4','2.5',2.566,2.925,8.528,8.717,0
'2.1','3.5','3.75',2.623,2.774,8.226,8.868,1
'2.3','3.5','3.3',3.000,2.906,9.302,9.075,1
'2.9','3.4','2.6',2.340,3.000,8.264,1.283,1
'2.6','3.5','2.8',2.870,2.717,9.389,8.963,1
