@relation matches
@attribute homeodds  real
@attribute drawodds  real
@attribute awayodds  real
@attribute avggoalshome  real
@attribute avggoalsaway  real
@attribute avgsothome  real
@attribute avgsotaway  real
@attribute class {0,1}

@data
'3.0','3.4','2.5',2.786,2.541,9.321,22.071,1
'2.38','3.5','3.1',2.933,3.038,8.747,3.293,1
'3.2','3.5','2.35',3.250,2.526,9.838,9.206,1
'2.15','3.5','3.6',2.759,2.824,9.241,23.172,1
'2.4','3.5','3.1',2.707,3.222,9.360,3.320,1
'2.7','3.5','2.7',2.735,2.789,8.912,10.485,1
'2.88','3.4','2.6',3.036,2.833,9.679,9.964,1
'4.2','3.5','2.0',2.683,2.762,8.302,8.571,1
'2.1','3.5','3.75',2.818,2.725,9.273,7.961,0
'2.5','3.4','3.0',2.545,3.246,8.416,8.818,0
'2.6','3.5','2.8',3.091,2.681,9.597,8.000,1
'2.1','3.5','3.75',2.737,2.844,9.039,9.237,1
'2.5','3.4','3.0',2.842,2.513,9.171,8.316,1
'2.63','3.3','2.9',2.460,3.429,7.762,9.952,1
'3.1','3.5','2.38',2.769,2.686,9.295,7.987,1
'2.5','3.4','3.0',2.782,2.667,9.205,8.744,1
'2.25','3.5','3.4',2.967,2.727,9.800,23.067,1
'3.25','3.5','2.3',2.936,3.000,8.718,9.295,1
'3.0','3.5','2.45',2.785,2.671,9.494,9.367,1
'3.4','3.4','2.3',2.557,3.089,7.987,9.658,1
'2.3','3.4','3.4',2.671,2.937,8.785,8.734,1
'2.25','3.5','3.4',2.848,2.532,9.101,8.380,1
'4.0','3.5','2.05',2.935,2.885,8.740,9.403,1
'2.5','3.4','3.0',3.000,2.705,9.538,9.038,1
'2.75','3.4','2.7',2.766,2.795,10.584,9.610,1
'2.6','3.3','3.0',2.675,2.675,9.275,8.775,1
'2.55','3.3','3.0',2.850,2.639,9.063,7.850,1
'2.5','3.4','3.0',2.684,2.936,8.987,8.608,1
'2.1','3.5','3.75',2.633,2.744,9.557,10.481,1
'3.0','3.5','2.45',2.833,2.899,9.115,9.333,1
'2.6','3.4','2.9',2.772,2.538,9.532,8.165,1
'4.2','3.5','2.0',2.708,2.754,8.615,8.646,1
'2.15','3.5','3.6',2.815,2.864,9.309,9.037,1
'2.63','3.4','2.88',2.593,3.086,8.988,9.667,1
'2.3','3.5','3.3',2.911,2.750,8.709,9.620,1
'3.4','3.5','2.25',2.813,2.909,9.075,4.137,1
'3.4','3.5','2.25',2.975,2.425,9.425,8.600,1
'2.38','3.4','3.2',2.888,2.544,9.200,8.225,1
'2.5','3.4','3.0',2.700,2.848,9.163,9.038,1
'3.0','3.4','2.5',2.938,2.418,8.700,8.637,1
'2.9','3.4','2.6',2.573,2.939,8.037,8.732,0
'2.0','3.5','4.2',2.366,3.189,7.927,8.854,1
'2.5','3.4','3.0',2.952,2.373,8.687,8.325,1
'3.25','3.4','2.38',2.313,3.120,7.855,9.687,1
'3.25','3.4','2.38',2.716,3.029,10.642,3.790,1
'4.0','3.5','2.05',2.543,2.866,8.235,9.296,1
'2.25','3.5','3.4',3.173,2.542,9.800,8.907,1
'2.6','3.4','2.88',2.607,2.929,9.036,8.643,1
'2.1','3.5','3.3',3.000,2.357,9.250,8.286,1
'2.2','3.3','3.25',2.658,2.747,8.658,10.329,1
'2.1','3.4','3.4',3.107,2.560,9.655,8.417,1
'2.63','3.4','2.55',2.940,2.422,8.747,8.614,1
'3.0','3.4','2.3',2.843,2.561,9.169,8.133,1
'2.25','3.4','3.1',2.928,2.639,9.265,9.627,1
'2.6','3.4','2.6',2.663,2.833,9.169,4.084,1
'2.05','3.5','3.5',3.029,2.857,9.000,9.943,1
'2.05','3.4','3.6',3.343,2.731,9.836,8.552,1
'2.88','3.4','2.6',2.542,3.056,8.217,3.855,1
'2.88','3.4','2.6',2.488,2.940,8.643,9.286,1
'2.8','3.4','2.7',2.747,2.919,10.735,4.325,1
'2.88','3.4','2.6',2.929,2.786,8.741,9.047,1
'2.25','3.4','3.5',2.738,2.871,9.405,9.071,1
'3.0','3.4','2.5',2.541,3.000,8.353,9.224,1
'2.3','3.4','3.4',2.906,2.600,8.718,9.059,1
'2.3','3.5','3.3',2.824,2.494,9.129,8.624,0
'3.8','3.5','2.1',2.541,2.894,8.235,9.165,1
'2.25','3.5','3.4',2.776,2.655,9.529,9.529,1
'2.8','3.4','2.7',2.947,2.624,9.684,20.447,1
'2.15','3.4','3.75',2.726,2.649,8.917,7.893,1
'2.6','3.4','2.88',2.723,2.905,8.699,9.422,1
'3.5','3.4','2.1',2.421,2.956,8.303,8.276,0
'3.0','3.4','2.5',2.791,2.535,9.360,8.372,1
'2.5','3.4','3.0',3.093,2.349,9.593,8.244,1
'2.63','3.3','2.6',2.659,2.651,9.659,8.929,1
'1.85','3.5','4.2',2.765,2.919,9.141,9.353,1
'2.6','3.3','2.63',2.729,2.907,10.659,8.835,0
'1.91','3.4','4.0',3.000,2.779,8.795,21.051,1
'2.1','3.3','3.5',2.884,2.726,9.163,8.500,1
'2.3','3.5','3.3',3.165,2.287,9.937,8.671,1
'3.5','3.4','2.25',2.779,2.655,9.442,9.151,1
'2.5','3.4','3.0',2.709,2.744,8.826,9.256,0
'3.3','3.5','2.3',2.667,2.707,8.828,4.299,1
'2.3','3.4','3.4',2.874,2.674,8.678,9.540,1
'2.2','3.5','3.5',2.477,2.950,8.663,4.023,1
'3.1','3.5','2.4',2.954,2.419,9.310,8.586,1
'2.15','3.5','3.6',2.547,2.885,8.372,9.302,1
'2.63','3.4','2.88',2.754,3.362,8.507,9.275,1
'2.88','3.4','2.63',2.782,2.713,9.460,9.172,1
'2.25','3.4','3.5',2.852,2.545,8.682,8.250,1
'2.5','3.4','3.0',2.690,2.659,10.563,8.931,1
'3.25','3.5','2.3',2.927,2.709,8.634,18.341,1
'2.15','3.5','3.6',3.175,2.841,9.887,9.850,1
'2.0','3.4','4.33',2.725,2.800,9.159,8.652,1
'2.15','3.4','3.75',2.714,2.657,8.636,7.597,1
'3.3','3.5','2.3',2.657,2.886,8.586,9.157,1
'2.4','3.5','3.1',2.953,2.820,8.581,19.233,1
'2.5','3.4','3.0',2.907,2.438,9.698,17.930,1
'2.45','3.25','3.25',2.676,2.648,8.648,8.408,1
'2.4','3.5','3.1',2.800,2.756,9.300,9.300,1
'2.45','3.5','3.0',2.705,2.878,9.159,18.659,1
'2.3','3.5','3.25',2.886,2.922,9.636,19.045,1
'2.4','3.3','3.3',2.914,2.700,9.443,9.086,0
'3.75','3.4','2.15',2.592,2.775,8.493,8.465,1
'4.33','3.4','2.0',2.352,3.296,7.577,9.775,1
'3.3','3.5','2.3',2.769,2.582,9.308,8.319,1
'2.3','3.5','3.3',2.626,2.736,9.374,9.527,1
'2.4','3.4','3.2',2.604,2.824,8.099,8.879,0
'2.6','3.5','2.8',2.626,2.956,8.736,4.286,1
'3.1','3.5','2.4',2.538,2.824,8.725,8.637,1
'2.8','3.5','2.6',2.923,2.692,9.286,10.560,1
'2.9','3.4','2.6',2.466,2.890,7.740,9.164,1
'2.1','3.5','3.8',2.658,3.260,8.959,9.822,1
